id,title,description,created_at,due_date,completed,completed_at,updated_at
28,Task 21,Design new logo,1721144834259,1723881600000,1,1721144834259,1721144834259
29,Task 22,Analyze sales data,1721144834259,1724006400000,1,1721144834259,1721144834259
30,Task 23,Prepare budget report,1721144834259,1724131200000,1,1721144834259,1721144834259
31,Task 24,Develop app prototype,1721144834259,1724256000000,1,1721144834259,1721144834259
32,Task 25,Coordinate event logistics,1721144834259,1724380800000,1,1721144834259,1721144834259
33,Task 26,Update CRM system,1721144834259,1724505600000,1,1721144834259,1721144834259
34,Task 27,Host webinar,1721144834259,1724630400000,1,1721144834259,1721144834259
35,Task 28,Create social media content,1721144834259,1724755200000,1,1721144834259,1721144834259
36,Task 29,Review legal documents,1721144834259,1724880000000,1,1721144834259,1721144834259
37,Task 30,Conduct training session,1721144834259,1725004800000,1,1721144834259,1721144834259
38,Task 31,Manage project milestones,1721144834259,1725129600000,1,1721144834259,1721144834259
39,Task 32,Plan marketing campaign,1721144834259,1725254400000,1,1721144834259,1721144834259
40,Task 33,Develop SEO strategy,1721144834259,1725379200000,1,1721144834259,1721144834259
41,Task 34,Conduct competitor analysis,1721144834259,1725504000000,1,1721144834259,1721144834259
42,Task 35,Prepare annual report,1721144834259,1725628800000,1,1721144834259,1721144834259
43,Task 36,Update employee handbook,1721144834259,1725753600000,1,1721144834259,1721144834259
44,Task 37,Organize team lunch,1721144834259,1725878400000,1,1721144834259,1721144834259
45,Task 38,Review performance metrics,1721144834259,1726003200000,1,1721144834259,1721144834259
46,Task 39,Create financial forecast,1721144834259,1726128000000,1,1721144834259,1721144834259
47,Task 40,Plan office renovation,1721144834259,1726252800000,1,1721144834259,1721144834259
48,Task 41,Attend networking event,1721144834259,1726377600000,1,1721144834259,1721144834259
49,Task 42,Conduct employee survey,1721144834259,1726502400000,1,1721144834259,1721144834259
50,Task 43,Review IT infrastructure,1721144834259,1726627200000,1,1721144834259,1721144834259
51,Task 44,Develop risk management plan,1721144834259,1726752000000,1,1721144834259,1721144834259
52,Task 45,Create onboarding process,1721144834259,1726876800000,1,1721144834259,1721144834259
53,Task 46,Update product catalog,1721144834259,1727001600000,1,1721144834259,1721144834259
54,Task 47,Plan customer appreciation event,1721144834259,1727126400000,1,1721144834259,1721144834259
55,Task 48,Conduct focus group,1721144834259,1727251200000,1,1721144834259,1721144834259
56,Task 49,Review marketing materials,1721144834259,1727376000000,1,1721144834259,1721144834259
57,Task 50,Analyze website traffic,1721144834259,1727500800000,1,1721144834259,1721144834259
58,Task 51,Prepare tax documents,1721144834259,1727625600000,1,1721144834259,1721144834259
